# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: c62ad30e-4619-41f0-a350-e252ef639a34
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
34	8	8	1	477	2	16	0	0	2.9996230269773307	2.9996230269773307	2.9996230269773307	2.9996230269773307	2.9996230269773307	0.9984128643598162	2.9996230269773307	0	true	1
35	9	9	15	7170	30	240	0	0	2.999895084154709	2.999895084154709	2.999895084154709	2.999895084154709	2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.9993695902747235,2.999895084154709,2.999895084154709	0.998144332911735	2.999895084154709	0	true	2
36	10	10	13	6214	26	208	0	0	2.999509536602738	2.999509536602738	2.999509536602738	2.999509536602738	2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.9991790046003404,2.999509536602738,2.999509536602738	0.9981368757356651	2.999509536602738	0	true	1
37	10	10	21	10059	42	336	0	0	2.9999371917261404	2.9999371917261404	2.9999371917261404	2.9999371917261404	2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999045267540745,2.9999371917261404,2.9999371917261404	0.9981368757356651	2.9999371917261404	0	true	2
38	11	11	15	7185	30	240	0	0	2.999925185854563	2.999925185854563	2.999925185854563	2.999925185854563	2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.9997879946205748,2.999925185854563,2.999925185854563	0.9975972905593614	2.999925185854563	0	true	1
39	12	12	1	480	2	16	0	0	2.999985815719394	2.999985815719394	2.999985815719394	2.999985815719394	2.999985815719394	0.9975264473866985	2.999985815719394	0	true	1
40	12	12	28	13468	56	448	0	0	2.999811585451376	2.999811585451376	2.999811585451376	2.999811585451376	2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.9998110157052498,2.999811585451376,2.999811585451376	0.9975264473866985	2.999811585451376	0	true	2
41	13	13	13	6253	26	208	0	0	2.9999697067444675	2.9999697067444675	2.9999697067444675	2.9999697067444675	2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999691779302635,2.9999697067444675,2.9999697067444675	0.9974928900943846	2.9999697067444675	0	true	1
42	14	14	9	4329	18	144	0	0	2.99984669896929	2.99984669896929	2.99984669896929	2.99984669896929	2.99923312453279,2.99923312453279,2.99923312453279,2.99923312453279,2.99923312453279,2.99923312453279,2.99923312453279,2.99984669896929,2.99984669896929	0.9974792186049233	2.99984669896929	0	true	0
43	15	15	3	1446	6	48	0	0	2.9998852304405594	2.9998852304405594	2.9998852304405594	2.9998852304405594	2.9997718158801345,2.9998852304405594,2.9998852304405594	0.9972257111733355	2.9998852304405594	0	true	1
44	15	15	1	482	2	16	0	0	2.999714997356149	2.999714997356149	2.999714997356149	2.999714997356149	2.999714997356149	0.9972257111733355	2.999714997356149	0	true	0
45	19	18	15	7230	30	240	0	0	2.999995463231413	2.999995463231413	2.999995463231413	2.999995463231413	0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,0.99918784377867,2.999995463231413,2.999995463231413	0.9966318055870333	2.999995463231413	0	true	1
46	19	19	4	1936	8	64	0	0	2.999905898909188	2.999905898909188	2.999905898909188	2.999905898909188	1.999585955194598,1.999585955194598,2.999905898909188,2.999905898909188	0.9964878162902743	2.999905898909188	0	true	1
47	19	19	25	12150	50	400	0	0	2.9993146677072353	2.9993146677072353	2.9993146677072353	2.9993146677072353	2.99920551581063,2.99920551581063,2.99920551581063,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993133773149756,2.9993146677072353,2.9993146677072353	0.9964878162902743	2.9993146677072353	0	true	1
48	19	19	2	972	4	32	0	0	2.9999763415913843	2.9999763415913843	2.9999763415913843	2.9999763415913843	2.9999763415913843,2.9999763415913843	0.9962863628720362	2.9999763415913843	0	true	1
